"관리번호","자치구","와이파이명","도로명주소","상세주소","설치위치(층)","설치유형","설치기관","서비스구분","망종류","설치년도","실내외구분","wifi접속환경","X좌표","Y좌표","작업일자"
"BS100193","강서구","개화2치안센터","개화동 637-2","16-168","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.80222","37.575127","2022-03-06 10:57:49.0"
"BS100194","강서구","개화검문소","개화동 477-31","16-169","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.80035","37.578457","2022-03-06 10:57:49.0"
"BS100195","강서구","겸재정선미술관","가양1 272-30","16-271","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.838165","37.56991","2022-03-06 10:57:49.0"
"BS100196","강서구","공항동지하도입구","남부순환로 29","16-162","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.80818","37.559086","2022-03-06 10:57:49.0"
"BS100197","강서구","공항시장역.공항성산교회","방화2 614-97","16-121","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.811386","37.564747","2022-03-06 10:57:49.0"
"BS100198","강서구","공항중학교","공항동 3-7","16-307","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.81631","37.56322","2022-03-06 10:57:49.0"
"BS100199","강서구","공항중학교","공항동 2-95","16-308","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.81676","37.562458","2022-03-06 10:57:49.0"
"BS100200","강서구","공항중학교.공항초등학교","공항동 36-16","16-016","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.8158","37.560726","2022-03-06 10:57:49.0"
"BS100201","강서구","공항초등학교.공항중학교","마곡동 730-62","16-020","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.817154","37.560738","2022-03-06 10:57:49.0"
"BS100202","강서구","국민은행방화동지점","금낭화로 80","16-126","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.81159","37.57272","2022-03-06 10:57:49.0"
"BS100203","강서구","금호.한솔아파트","등촌1 241-14","16-252","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.865486","37.555447","2022-03-06 10:57:49.0"
"BS100204","강서구","대림경동아파트","허준로 121","16-236","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.85322","37.56559","2022-03-06 10:57:49.0"
"BS100205","강서구","대원시장","화곡동 1031-1","16-209","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.83823","37.544064","2022-03-06 10:57:49.0"
"BS100206","강서구","등촌동부영아파트","강서로56나길 110","16-296","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.84311","37.56261","2022-03-06 10:57:49.0"
"BS100207","강서구","등촌역.강서보건소","염창동 284-53","16-003","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.86865","37.549004","2022-03-06 10:57:49.0"
"BS100208","강서구","등촌역.강서보건소","목동 603-25","16-004","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.8676","37.54941","2022-03-06 10:57:49.0"
"BS100209","강서구","등촌중학교 백석초등학교","등촌동 666-80","16-005","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.86156","37.552628","2022-03-06 10:57:49.0"
"BS100210","강서구","등촌중학교 백석초등학교","등촌동 607-7","16-006","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.86053","37.552864","2022-03-06 10:57:49.0"
"BS100211","강서구","마곡동로사거리","마곡동 727-1163","16-021","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.83187","37.55935","2022-03-06 10:57:49.0"
"BS100212","강서구","마곡동로사거리","마곡동 727-1154","16-022","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.83171","37.559284","2022-03-06 10:57:49.0"
"BS100213","강서구","마곡수명산파크2단지","내발산동 389-1","16-418","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82642","37.55491","2022-03-06 10:57:49.0"
"BS100214","강서구","마곡수명산파크2단지","내발산동 739","16-419","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82606","37.554787","2022-03-06 10:57:49.0"
"BS100215","강서구","마곡엠밸리14단지아파트","마곡동 721-8","16-427","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82641","37.55747","2022-03-06 10:57:49.0"
"BS100216","강서구","마곡엠밸리15단지아파트","마곡동 721-9","16-428","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82675","37.557438","2022-03-06 10:57:49.0"
"BS100217","강서구","마곡역","마곡동 727-1091","16-018","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.827515","37.559696","2022-03-06 10:57:49.0"
"BS100218","강서구","마곡역","마곡동 727-697","16-019","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82604","37.559692","2022-03-06 10:57:49.0"
"BS100219","강서구","발산역","등촌동 675-9","16-013","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.83916","37.55849","2022-03-06 10:57:49.0"
"BS100220","강서구","발산역","용두동 47-1","16-017","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.83761","37.558575","2022-03-06 10:57:49.0"
"BS100221","강서구","발산역.우장산힐스테이트","내발산동 657-2","16-217","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.83762","37.556038","2022-03-06 10:57:49.0"
"BS100222","강서구","상사마을","개화동 425-4","16-171","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.79856","37.582493","2022-03-06 10:57:49.0"
"BS100223","강서구","서남환경공원","마곡동 222-16","16-278","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.822624","37.57308","2022-03-06 10:57:49.0"
"BS100224","강서구","서울항공비즈니스고등학교","방화1 246-8","16-306","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.816376","37.568966","2022-03-06 10:57:49.0"
"BS100225","강서구","송정역","공항대로","16-014","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.80959","37.56137","2022-03-06 10:57:49.0"
"BS100226","강서구","송정역","공항대로","16-015","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.81107","37.561348","2022-03-06 10:57:49.0"
"BS100227","강서구","송정중학교후문","공항동 1342","16-453","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.81621","37.55452","2022-03-06 10:57:49.0"
"BS100228","강서구","신방화사거리","방화1 278-15","16-431","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.816925","37.57287","2022-03-06 10:57:49.0"
"BS100229","강서구","양천향교역.휴먼빌아파트","강서로 490","16-225","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.84157","37.568977","2022-03-06 10:57:49.0"
"BS100230","강서구","염창동새마을금고","염창동 250-15","16-247","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.87332","37.550236","2022-03-06 10:57:49.0"
"BS100231","강서구","염창동아3차아파트.나이아가라호텔","염창동 284-66","16-245","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.877625","37.54912","2022-03-06 10:57:49.0"
"BS100232","강서구","염창동한마음.관음삼성아파트","염창동 244-28","16-249","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.86972","37.553047","2022-03-06 10:57:49.0"
"BS100233","강서구","염창역.서울도시가스","공항대로","16-001","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.875885","37.547096","2022-03-06 10:57:49.0"
"BS100234","강서구","염창역.서울도시가스","공항대로","16-002","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.87506","37.546856","2022-03-06 10:57:49.0"
"BS100235","강서구","외발산신광명마을","외'발산동 234-8","16-151","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.821526","37.546066","2022-03-06 10:57:49.0"
"BS100236","강서구","외발산신광명마을","발산1 263","16-152","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82113","37.54596","2022-03-06 10:57:49.0"
"BS100237","강서구","우장산역","강서로 266","16-213","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.8365","37.54924","2022-03-06 10:57:49.0"
"BS100238","강서구","한국가스기술공사","공항대로","16-011","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.8455","37.557854","2022-03-06 10:57:49.0"
"BS100239","강서구","한국가스기술공사","공항대로","16-012","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.843254","37.557873","2022-03-06 10:57:49.0"
"BS100240","강서구","한국공항공사","공항동 676-1","16-410","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.798874","37.56243","2022-03-06 10:57:49.0"
"BS100241","강서구","화곡푸르지오","화곡3 1068-31","16-150","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.83448","37.54015","2022-03-06 10:57:49.0"
"BS101454","강서구","한국폴리텍1.서울강서대학교","화곡본동 24-128 한국폴리텍1.서울강서대학교(16-143)","16-143","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.845276","37.54609","2022-03-06 10:57:50.0"
"BS101455","강서구","아이파크아파트.백석중학교.실로암안과","등촌2 513-14 아이파크아파트.백석중학교.실로암안과(16-174)","16-174","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.862144","37.545143","2022-03-06 10:57:50.0"
"BS101456","강서구","목동사거리","화곡4 775-5 목동사거리(16-178)","16-178","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.86351","37.532764","2022-03-06 10:57:50.0"
"BS101457","강서구","화원중학교","가로공원로 219 화원중학교(16-202)","16-202","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.84043","37.537975","2022-03-06 10:57:50.0"
"BS101458","강서구","명덕고등학교.웰튼병원","내발산동 677-9 명덕고등학교.웰튼병원(16-215)","16-215","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.8367","37.55312","2022-03-06 10:57:50.0"
"BS101459","강서구","명덕고등학교.웰튼병원","내발산동 678-7 명덕고등학교.웰튼병원(16-216)","16-216","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.83637","37.55329","2022-03-06 10:57:50.0"
"BS101460","강서구","마곡나루역4번출구","마곡동 372-8 마곡나루역4번출구(16-385)","16-385","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82781","37.565052","2022-03-06 10:57:50.0"
"BS101461","강서구","마곡나루역5번출구","마곡동 372-6 마곡나루역5번출구(16-386)","16-386","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82749","37.565052","2022-03-06 10:57:50.0"
"BS101462","강서구","마곡역교차로","마곡동 727-1113 마곡역교차로(16-387)","16-387","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82844","37.55937","2022-03-06 10:57:50.0"
"BS101463","강서구","이대서울병원","마곡동 727-1184 이대서울병원(16-388)","16-388","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.83456","37.558746","2022-03-06 10:57:50.0"
"BS101464","강서구","마곡나루역","마곡동 366-2 마곡나루역(16-396)","16-396","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82594","37.56678","2022-03-06 10:57:50.0"
"BS101465","강서구","마곡나루역1번출구","마곡동 367-11 마곡나루역1번출구(16-399)","16-399","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82655","37.566956","2022-03-06 10:57:50.0"
"BS101466","강서구","마곡수명산파크7단지","내발산동 754-3 마곡수명산파크7단지(16-421)","16-421","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82276","37.54932","2022-03-06 10:57:50.0"
"BS101467","강서구","발산역9번출구","가양동 972 발산역9번출구(16-429)","16-429","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.836685","37.558853","2022-03-06 10:57:50.0"
"BS101468","강서구","마곡나루역","마곡동 280-2 마곡나루역(16-606)","16-606","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.82763","37.567184","2022-03-06 10:57:50.0"
"BS101469","강서구","롯데R&D센터","마곡동 295-3 롯데R&D센터(16-608)","16-608","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.827866","37.569912","2022-03-06 10:57:50.0"
"BS101576","강서구","공항동천주교회","공항동 687-15","16-160","","5. 버스정류소","과기부(버스정류소)","과기부WiFi","임대망","2020","실외","","126.81192","37.555637","2022-03-06 10:57:50.0"
"GS010007","강서구","보건소","염창동 275-12  지하 1층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2016","실내","","126.86831","37.549664","2022-03-06 10:57:52.0"
"GS010008","강서구","보건소","염창동 275-12  1층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2011","실내","","126.86831","37.549664","2022-03-06 10:57:52.0"
"GS010009","강서구","보건소","염창동 275-12  2층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2011","실내","","126.86831","37.549664","2022-03-06 10:57:52.0"
"GS010010","강서구","보건소","염창동 275-12  3층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2011","실내","","126.86831","37.549664","2022-03-06 10:57:52.0"
"GS010011","강서구","보건소","염창동 275-12  3층(의약과  복도)","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2016","실내","","126.86831","37.549664","2022-03-06 10:57:52.0"
"GS010012","강서구","보건소","염창동 275-12  4층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2011","실내","","126.86831","37.549664","2022-03-06 10:57:52.0"
"GS010013","강서구","보건소","염창동 275-12  4층 위생관리과","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2013","실내","","126.84108","37.535477","2022-03-06 10:57:52.0"
"GS010014","강서구","보건소","염창동 275-12  4층 의약과","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실내","","126.86831","37.549664","2022-03-06 10:57:52.0"
"GS010015","강서구","화곡보건분소","화곡1동 366-1  2층 복도","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실내","","126.86831","37.549664","2022-03-06 10:57:52.0"
"GS010016","강서구","보건소","염창동 275-12  옆면 2층 외벽","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실외","","126.868484","37.549507","2022-03-06 10:57:52.0"
"GS010017","강서구","보건소","염창동 275-12  복도 창가 밖","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실외","","126.86821","37.54958","2022-03-06 10:57:52.0"
"GS010018","강서구","보건소","염창동 275-12  후면 옆","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실외","","126.86833","37.549698","2022-03-06 10:57:52.0"
"GS010019","강서구","염창동","염창동 53-1  1층","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2011","실내","","126.87092","37.553818","2022-03-06 10:57:52.0"
"GS010020","강서구","염창동","염창동 53-1  지하 헬스장","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2016","실내","","126.87092","37.553818","2022-03-06 10:57:52.0"
"GS010021","강서구","염창동","염창동 53-1  지하 에어로빅실","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2016","실내","","126.85896","37.556057","2022-03-06 10:57:52.0"
"GS010022","강서구","염창동","염창동 53-1  2층 아리향기작은도서관","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2011","실내","","126.85896","37.556057","2022-03-06 10:57:52.0"
"GS010023","강서구","염창동","염창동 53-1  정면 2층  외벽","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실외","","126.87102","37.55365","2022-03-06 10:57:52.0"
"GS010024","강서구","꿈꾸는 어린이 도서관","염창동 281-25  강서평생학습관 1층 제2강의실","","","4. 문화관광체육시설","자치구","공공WiFi","자가망U무선망","2016","실내","","126.873314","37.54729","2022-03-06 10:57:52.0"
"GS010025","강서구","꿈꾸는 어린이 도서관","염창동 281-25  강서평생학습관 3층","","","4. 문화관광체육시설","자치구","공공WiFi","자가망U무선망","2011","실내","","126.81685","37.57051","2022-03-06 10:57:52.0"
"GS010026","강서구","꿈꾸는 어린이 도서관","염창동 281-25  강서평생학습관 4층","","","4. 문화관광체육시설","자치구","공공WiFi","자가망U무선망","2013","실내","","126.81685","37.57051","2022-03-06 10:57:52.0"
"GS010030","강서구","염창동지역정보센터","염창동 270-1  정면 1층","","","7-2. 커뮤니티 - 경제","자치구","공공WiFi","자가망U무선망","2019","실외","","126.86691","37.553555","2022-03-06 10:57:52.0"
"GS010037","강서구","강서평생학습관","염창동 281-25  정면 2층","","","7-3. 커뮤니티 - 지역","자치구","공공WiFi","자가망U무선망","2019","실외","","126.87305","37.547234","2022-03-06 10:57:52.0"
"GS010038","강서구","염창동","염창동 53-1  4층 옥상","","","7-1. 커뮤니티 - 행정","자치구","공공WiFi","자가망U무선망","2019","실내","","126.85896","37.556057","2022-03-06 10:57:52.0"
"GS010039","강서구","염창동","염창동 240-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.86578","37.557873","2022-03-06 10:57:52.0"
"GS010041","강서구","염창동","염창동 산 32-9","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.8678","37.556496","2022-03-06 10:57:52.0"
"GS010042","강서구","염창동","염창동 74-3","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87106","37.555424","2022-03-06 10:57:52.0"
"GS010043","강서구","염창동","염창동 245-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.86966","37.554333","2022-03-06 10:57:52.0"
"GS010044","강서구","염창동","염창동 244-38","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87007","37.552807","2022-03-06 10:57:52.0"
"GS010045","강서구","염창동","염창동 306-2","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87275","37.551483","2022-03-06 10:57:52.0"
"GS010046","강서구","염창동","염창동 299","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87429","37.552124","2022-03-06 10:57:52.0"
"GS010047","강서구","염창동","염창동 113-14 동산어린이집","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.86649","37.55298","2022-03-06 10:57:52.0"
"GS010048","강서구","염창동","염창동 252-20","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.875175","37.550232","2022-03-06 10:57:52.0"
"GS010049","강서구","염창동","양천로 721","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87588","37.549435","2022-03-06 10:57:52.0"
"GS010050","강서구","염창동","염창동 255(무학아파트)","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87722","37.55135","2022-03-06 10:57:52.0"
"GS010051","강서구","염창동","염창동 264-18","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87321","37.549545","2022-03-06 10:57:52.0"
"GS010052","강서구","염창동","염창동 279-12","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87159","37.549004","2022-03-06 10:57:52.0"
"GS010054","강서구","염창동","염창동 266-14","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87092","37.55047","2022-03-06 10:57:52.0"
"GS010055","강서구","염창동","염창동 276-9","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87013","37.549767","2022-03-06 10:57:52.0"
"GS010056","강서구","염창동","염창동 276","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.86868","37.550213","2022-03-06 10:57:52.0"
"GS010057","강서구","염창동","염창동 267-20","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.86798","37.551678","2022-03-06 10:57:52.0"
"GS010058","강서구","염창동","염창동 269","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.868065","37.55228","2022-03-06 10:57:52.0"
"GS010059","강서구","염창동","염창동 271","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.86649","37.55298","2022-03-06 10:57:52.0"
"GS010060","강서구","염창동","등촌동 647-86","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.86559","37.5522","2022-03-06 10:57:52.0"
"GS010061","강서구","염창동","염창동 248-3","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87138","37.55159","2022-03-06 10:57:52.0"
"GS010062","강서구","염창동","염창동 249-10","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87227","37.55087","2022-03-06 10:57:52.0"
"GS010063","강서구","염창동","양천로699","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.8734","37.550255","2022-03-06 10:57:52.0"
"GS010064","강서구","염창동","염창동 45-4","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87187","37.55293","2022-03-06 10:57:52.0"
"GS010065","강서구","염창동","염창동 266-1","","","1. 주요거리","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.87002","37.55125","2022-03-06 10:57:52.0"
"GS010066","강서구","염창공원","염창동 산24-1","","","3. 공원(하천)","자치구에스넷1차","공공WiFi","자가망U무선망(S-NET)","2020","실외","","126.86867","37.55795","2022-03-06 10:57:52.0"
